name,faculty,group,gpa
Uxawahebup Ojiwepovy,Reverse,218,9.11
Ucixotaric Eqa,Pentest,228,9.78
Orody Ocigeryzo,Cybersec,232,5.92
Ajerim Exarytopo,Forensics,258,9.56
Icyw Yjum,Teapotting,217,6.33
Ojumadu Ykulohu,Pwn,207,4.95
Ujin Ykynysi,Pwn,206,9.15
Unu Yzideteg,Reverse,251,8.08
Omocyd Ematyb,Pentest,245,8.05
Emymo Avido,Forensics,248,6.56
Ujaxozuzu Akykexymi,Forensics,259,8.6
Ohymemu Yjusidokit,Pentest,210,7.1
Otoqeb Inylexuhow,Pentest,234,4.62
Odyjo Ubopen,Teapotting,233,8.6
Uzaluhu Igig,Cybersec,208,8.52
Iligosu Ikaxuwehi,Teapotting,238,8.88
Emilaqa Yxonicuh,Pwn,245,4.49
Ecuc Eteky,Pwn,235,5.44
Upaf Idamy,Forensics,210,4.82
Ynelobyzef Amyfa,Forensics,232,6.46
Alenuteb Uly,Reverse,206,4.07
Yzon Yfequzu,Cybersec,231,9.77
Ygofiv Ilocecy,Pwn,233,9.69
Ibava Yhumy,Pwn,247,4.79
Ivaqufypuk Egosyzeso,Pwn,206,4.54
Usipa Yjaw,Reverse,221,6.9
Ozufezyh Idu,Reverse,258,4.94
Ubexykily Ecucy,Cybersec,221,6.84
Ewaw Izejul,Cybersec,222,6.31
Idizuvu Uxojam,Pentest,255,6.9
Atub Ykyhyk,Cybersec,227,5.57
Uheveperaq Umij,Forensics,220,8.88
Odoro Acuzur,Teapotting,206,6.9
Ecirutid Ukivumi,Reverse,232,9.39
Ecaku Yfiri,Reverse,235,8.85
Ucugolik Umepakamom,Forensics,246,9.71
Osuk Uqecylexum,Teapotting,246,6.4
Ubymatuz Asyzemodiv,Pwn,251,6.36
Apujipi Oqovazaw,Pwn,245,9.44
Ixu Yqevucy,Reverse,237,5.45
Olavanaly Ilisy,Reverse,228,9.36
Ixaci Utybizuwy,Reverse,257,5.1
Isylewyna Egugufyviv,Teapotting,231,9.19
Ytox Esozanisof,Teapotting,219,7.09
Ocycy Iju,Pwn,206,5.86
Owu Etumi,Pwn,205,8.73
Ypocifem Upepaqe,Cybersec,227,5.65
Ibefu Omav,Reverse,212,5.3
Izowu Obimywy,Pentest,252,8.83
Ewehazon Enicic,Cybersec,227,5.69
Yhozob Ysukebeco,Teapotting,237,5.69
Ypik Isipufokiw,Forensics,221,4.03
Opygaxuner Egyh,Reverse,238,8.74
Ykumokyvun Ewak,Pwn,234,5.25
Anyrag Upacepes,Pwn,226,8.93
Uheh Ubyra,Forensics,226,9.5
Eti Aviqehaj,Reverse,246,5.92
Acemenob Axuseqa,Pwn,238,5.65
Ihyp Obehuzity,Pentest,228,8.53
Ajybi Ewyw,Pentest,202,4.59
Ofejoso Obusygihar,Reverse,204,9.38
Ywu Ysig,Cybersec,203,6.64
Upujero Uxuqi,Pentest,256,6.79
Eqitewox Inijy,Reverse,233,5.34
Ekuvup Yte,Pwn,210,8.09
Ubirofisi Aroryse,Reverse,255,6.62
Iragapis Iso,Teapotting,239,8.42
Acenecabe Ifogyn,Cybersec,226,8.7
Orolipukod Ywexuxoz,Cybersec,230,8.1
Upil Utina,Forensics,201,7.59
Ebovun Yzuc,Cybersec,217,4.63
Inibywequ Oqipodave,Forensics,251,8.02
Unaqika Uhamodolal,Pwn,216,6.8
Afure Ufyvyg,Forensics,204,5.09
Ulec Upobiki,Cybersec,235,5.15
Yhekew Ymuqany,Teapotting,207,8.71
Ymezuh Ugi,Pwn,252,5.26
Yzyqyrezi Ugynydam,Cybersec,206,5.69
Odeqoxy Ojureby,Reverse,208,7.02
Ixyza Exu,Cybersec,244,7.63
Esotoqecus Ycyjix,Teapotting,208,5.23
Aqoladob Uwar,Cybersec,202,9.49
Uwecu Ugeguqe,Cybersec,259,8.87
Yputomudo Exymecahy,Cybersec,223,7.08
Esop Eta,Pentest,200,8.04
Ytucesaxuw Ydyzeb,Forensics,204,9.82
Uveh Ocijywy,Pentest,226,8.4
Apuforiniw Utofonej,Forensics,255,5.83
Iqujovovi Ihicukuzan,Forensics,257,6.99
Ujoquruvi Utebuvyr,Teapotting,214,7.83
Ikyb Ogatyjixez,Forensics,242,6.25
Ylesogex Ycixavikuf,Pentest,252,8.08
Avamufikyq Etufotizi,Forensics,259,8.63
Avelamabib Upof,Teapotting,241,9.91
Ytitixynah Ilixyv,Pwn,213,5.17
Upupor Ytylyjice,Cybersec,243,7.76
Ydocovyb Uwi,Teapotting,207,7.18
Awuwemefy Uzah,Pwn,242,5.29
Ihogez Ylydomy,Reverse,246,6.31
Eseni Exuhox,Forensics,211,8.04
Ylywumowyz Ino,Teapotting,202,7.68
Aso Urypuhy,Teapotting,257,6.31
Yvoti Igyd,Forensics,204,7.57
Okubicur Osyrun,Reverse,223,4.4
Ulokajyjo Etyveme,Forensics,251,4.43
Akolecop Ovutucut,Teapotting,227,8.91
Ymilidelof Isiz,Cybersec,248,8.73
Omyma Inenomu,Cybersec,235,4.01
Odojefunes Ijyly,Reverse,237,6.4
Efyj Uqexetof,Pwn,240,9.51
Ata Yjo,Pwn,217,4.53
Afejid Okynobi,Pentest,215,6.3
Itidapunu Orabal,Pwn,251,9.17
Ygaseguky Iceru,Reverse,200,7.02
Eric Arofa,Forensics,218,4.95
Imeraxofe Ypukamazu,Teapotting,232,7.33
Yrimib Abyje,Reverse,220,4.64
Iwynivoq Apokaq,Cybersec,228,9.43
Abobafaq Uvexuci,Reverse,243,8.86
Utugaqa Erad,Pwn,203,6.65
Omefy Ityfyj,Pwn,252,5.36
Ogape Unolehu,Pentest,212,9.33
Ivum Itohonid,Teapotting,207,8.94
Azub Eseda,Reverse,233,9.91
Avyl Igagoduvo,Teapotting,200,8.1
Iculyxi Emaqose,Teapotting,232,9.72
Usatysis Ihigohaxu,Forensics,200,7.97
Ejegowop Urih,Pwn,242,5.92
Ysocyvesy Ohiwohy,Forensics,225,6.35
Ohyhebo Yhita,Pwn,247,6.36
Otivit Opama,Pwn,224,7.74
Yqyrozese Yhacu,Forensics,227,5.8
Igop Ikavege,Reverse,259,9.38
Odypecytif Ibypu,Reverse,245,4.36
Ypahopy Yxipukevud,Pwn,252,9.09
Asykecodo Ositymewex,Pwn,234,9.96
Yrowit Idi,Reverse,222,8.96
Yfi Ynem,Forensics,244,5.47
Ybis Yqaliw,Pentest,255,6.72
Unapefun Acuza,Pentest,209,5.13
Ulatydax Ohonysur,Pwn,214,8.79
Ygo Ymulu,Cybersec,205,7.21
Oxixitir Yge,Pentest,218,9.89
Ijytularoj Ylaso,Forensics,260,8.82
Yci Ecewogyvu,Pentest,233,7.15
Okit Yjydefozif,Teapotting,258,4.05
Yfifudopi Uwunocab,Forensics,252,5.85
Esijo Opimur,Cybersec,224,9.2
Iqyhabi Eqodup,Pentest,241,7.28
Owo Umukypaxos,Pwn,240,4.75
Uhetohaso Ewisirozob,Teapotting,221,9.9
Oku Amyjyp,Pwn,250,5.45
Emoqap Yqevyzus,Teapotting,209,7.1
Yjuneculy Ubocuvomuw,Cybersec,233,5.93
Ihiculapib Itegosudox,Teapotting,213,9.2
Ukuduwita Umevywyc,Teapotting,206,8.39
Yxymyroqor Ymixabag,Cybersec,219,6.62
Owut Uxawa,Reverse,200,4.42
Ezi Iwyviqype,Forensics,240,9.52
Ility Ykices,Teapotting,210,9.39
Ycu Inaji,Pwn,205,4.56
Ycahycira Ipec,Teapotting,248,8.87
Upacazuve Yzisaxozed,Teapotting,248,9.41
Ehiluvovox Yqefefudy,Pwn,245,6.5
Yqizok Ozet,Teapotting,205,5.38
Ikutunid Apow,Cybersec,253,7.22
Aworezys Izyjybag,Cybersec,250,6.81
Ewajymedo Esizepades,Teapotting,223,7.81
Ime Uvuf,Reverse,247,6.37
Yhotoga Onygobo,Forensics,257,9.54
Ewaj Ugilujukuc,Pentest,210,6.65
Ahajo Ovykany,Forensics,243,7.84
Efuwa Yvofu,Forensics,242,6.57
Exyzybyt Uhorihuk,Pwn,212,4.49
Anyhocot Yce,Forensics,249,8.53
Oxuni Ypimide,Pwn,256,9.02
Agicy Evucucu,Pwn,233,9.4
Erokewe Yrezuky,Pentest,234,5.78
Edugadiz Asunax,Teapotting,214,6.73
Ynapeso Eqafazas,Cybersec,243,8.85
Usecar Ikecy,Teapotting,223,6.17
Ejypulaxo Ynasotaxob,Pwn,200,6.45
Ityjuxyv Uperave,Pentest,203,8.44
Ode Omi,Cybersec,246,7.6
Uwasykymo Uterame,Pentest,230,8.95
Ovicusyd Yzozyhufa,Cybersec,231,8.23
Uloheka Elageki,Cybersec,205,4.16
Exovikybyb Ytufiv,Pentest,217,8.61
Yxefypaleh Icured,Forensics,227,9.15
Izocy Ylahoq,Pentest,244,7.61
Ipehu Ozybe,Reverse,215,5.23
Ohotabanak Ybyvixa,Pwn,224,6.21
Asuvyfyv Ome,Teapotting,200,4.4
Ohunikemo Uriwesop,Reverse,223,8.65
Ipez Yxi,Pwn,216,5.3
Ybagonokiw Ozekovucu,Cybersec,224,9.66
Olim Oniqij,Pentest,257,4.34
Epabefowub Ilatara,Teapotting,237,5.62
Ikod Isikaki,Pentest,246,9.37
Ojaracyle Iqewuk,Cybersec,226,7.32
Axexezew Uriqajur,Pentest,220,5.54
Izetukul Ynir,Teapotting,222,4.78
Ugih Ybamyhed,Teapotting,205,8.96
Ocowuweh Ojafaxuz,Pwn,226,5.26
Yxiloj Afedali,Pwn,244,7.46
Ebyxarymav Evak,Pentest,222,4.8
Evof Oboguw,Pentest,211,4.85
Ejosidabi Ejy,Cybersec,253,9.69
Uvalexykun Ixafitiki,Reverse,235,4.21
Yqyqaf Ybutul,Pentest,215,9.93
Iqyk Ybub,Pwn,221,7.28
Ivi Ecyn,Pentest,241,4.22
Izani Ixawiquqo,Pentest,222,5.86
Abeputo Uximogeg,Cybersec,253,8.64
Yvolety Owa,Teapotting,246,8.61
Okys Aqetejiw,Reverse,213,7.05
Abova Ujapupode,Pentest,203,4.26
Elagygo Agoxib,Forensics,244,4.45
Aligefabew Awelyjaguf,Reverse,246,7.19
Yluro Yqexulyji,Pwn,239,4.4
Obysivim Ikuwice,Teapotting,201,7.96
Otahyfu Ulefedome,Reverse,231,6.6
Ura Yfexotigir,Pwn,237,5.89
Yna Omev,Pwn,210,8.73
Uwevavipol Ewi,Forensics,201,5.28
Okog Eve,Cybersec,260,5.72
Anaqucyp Imif,Forensics,238,7.61
Ehukovoky Ozon,Pentest,258,7.46
Ijut Ycoby,Reverse,259,4.83
Anawozuwex Itajop,Pwn,249,6.41
Egynokew Yzumol,Forensics,257,9.72
Izesil Adeba,Forensics,234,5.19
Irujew Opemexe,Pwn,212,9.96
Adasepyqud Ijigukida,Teapotting,237,9.05
Ybyme Yjuto,Cybersec,243,5.08
Ahev Akonepalat,Reverse,217,4.67
Ewinyci Onox,Pentest,201,8.51
Enuzylugy Egokop,Teapotting,255,5.91
Urikowi Ulisy,Forensics,253,6.79
Ynema Acypoge,Reverse,205,5.86
Ubozi Ewyfu,Pwn,215,9.93
Emurasyf Uhilizig,Cybersec,218,9.92
Aferan Ynava,Forensics,213,6.9
Ohorobado Igajodit,Pentest,255,6.81
Ytup Aqe,Forensics,216,9.66
Epaqu Ytivyh,Reverse,207,5.35
Yhywo Ytoroqati,Reverse,216,6.29
Uqivyzo Aquq,Forensics,244,8.99
Ymicyvacut Erux,Teapotting,244,6.85
Edifa Ubuhejox,Reverse,216,4.39
Iqyxyq Ucoc,Pwn,246,6.22
Anynowa Uvysy,Cybersec,210,4.37
Esesipyvys Ixo,Reverse,213,9.34
Umo Oniciby,Cybersec,233,8.0
Icaxo Obu,Pentest,215,5.93
Epiboba Abok,Forensics,227,8.91
Ibekerekez Opyto,Teapotting,200,6.13
Axywus Enywuguhi,Pwn,206,7.38
Inul Etevij,Pwn,217,7.19
Ivelove Ozyty,Pentest,247,8.18
Yrovoco Icequxypu,Teapotting,234,5.88
Uwoduso Uwaz,Reverse,253,7.4
Utiqa Oreb,Forensics,205,9.09
Ocogavum Yzuje,Forensics,253,5.96
Uxum Ynunos,Reverse,226,6.55
Irehaxos Asetysozaq,Reverse,224,7.61
Exilokybev Acelani,Cybersec,213,7.76
Isufisok Ypivenycus,Teapotting,245,7.43
Imutip Ykylugu,Forensics,259,6.3
Egehijazi Aba,Teapotting,236,9.91
Efum Ubamosa,Reverse,219,6.94
Efaw Efoqycyry,Forensics,212,6.88
Iroqorakyr Osa,Teapotting,221,9.81
Anulyja Izomy,Pentest,259,6.47
Axosazy Emul,Pentest,258,8.87
Ibyxydujid Owamyqehys,Teapotting,200,6.82
Ymixyk Ejeh,Pentest,214,4.87
Ugamuhyq Exyv,Cybersec,204,6.36
Ewahyqebas Ezehata,Reverse,253,4.02
Owemun Exorad,Cybersec,208,6.92
Atitotomo Aqidetenuw,Pentest,251,5.63
Yrije Ocaquqabud,Cybersec,241,9.8
Uvud Egesevoce,Reverse,201,4.87
Uruqu Uzawev,Pwn,255,9.3
Ijyfeq Inu,Forensics,235,8.92
Uviwyvow Yjuhe,Cybersec,233,6.97
Yfymelit Yhohem,Cybersec,223,6.35
Ezihigyku Iwynyb,Pentest,201,8.66
Itet Itahy,Cybersec,228,7.65
Ahuvi Odovevyzat,Forensics,258,9.45
Acificet Ikizyro,Pentest,223,6.05
Obap Iqiqu,Teapotting,207,6.06
Uho Ehyparipir,Pwn,247,8.94
Ejytepir Inana,Forensics,254,6.98
Ixy Ytydo,Pwn,231,6.92
Utytu Ycasiny,Reverse,205,7.37
Ewem Oduw,Cybersec,255,8.26
Ysibit Ebopahem,Forensics,251,7.52
Axy Acov,Pwn,229,7.17
Owaduseti Aququcuf,Cybersec,251,7.29
Ixabojena Ale,Cybersec,241,6.39
Azowyb Ilo,Teapotting,240,6.09
Avolozyd Ala,Pentest,238,4.65
Ikuzote Ohah,Forensics,222,8.98
Eradexa Ajymygic,Forensics,227,6.93
Avupuk Evyre,Pwn,243,5.76
Yjubeseb Ewug,Pwn,234,7.83
Yjyn Iwures,Forensics,202,4.56
Ygyl Uxizi,Pentest,243,6.76
Anybol Okopomusyp,Pentest,220,6.36
Azikak Ysy,Reverse,230,8.97
Ogijuwyca Uxym,Forensics,231,5.58
Urevoti Amuxytuc,Forensics,204,5.37
Ijiz Ove,Pwn,231,6.23
Igybenisa Axuvuqabux,Pentest,257,4.08
Epohu Ykupynoro,Pwn,249,9.64
Ofugykohu Yzujasiw,Cybersec,231,7.2
Ynijohutax Ekifygo,Teapotting,236,5.09
Uqu Iwutase,Pentest,239,9.07
Ajyzysyho Ykowa,Teapotting,216,6.45
Iqocy Orytofofab,Reverse,231,8.27
Olujacydu Yrizyjawyv,Pentest,224,5.31
Yfycoc Usus,Cybersec,237,9.0
Isic Yrokeli,Forensics,242,8.08
Ehyqonu Ivaqyz,Pwn,233,6.98
Umysaj Uzumucan,Teapotting,260,7.32
Atehub Ivygi,Pwn,217,6.33
Ysyjy Oqakalo,Reverse,253,6.67
Ipyz Itoton,Cybersec,260,8.67
Ofy Axiqymy,Forensics,248,4.99
Oqaji Ysacu,Cybersec,235,8.79
Ehag Ited,Teapotting,222,4.16
Asy Iwogajefir,Pentest,213,6.06
Ejokuno Uqy,Cybersec,228,5.44
Efyrupowi Urokefada,Cybersec,223,6.54
Itigunyte Ivahegymyf,Reverse,237,5.99
Eqesiz Ohegynoce,Pentest,250,9.57
Ojulokub Uhyd,Pwn,252,5.72
Umihogy Enuwipud,Forensics,227,8.5
Ypyv Opasequly,Pentest,245,5.24
Uteq Ize,Cybersec,222,7.52
Inuladoxo Itekekazu,Pentest,251,6.11
Awanege Ivaxad,Pwn,206,4.69
Iqyj Enyxozot,Teapotting,207,6.98
Unupely Ufahyb,Forensics,213,4.11
Yryf Ebogobezyd,Pentest,251,9.01
Atebike Ykysonew,Pwn,211,7.83
Exi Atafawihy,Pwn,225,4.89
Egiqyvigu Ojyp,Cybersec,235,6.92
Obik Yjadocucuv,Pentest,206,4.55
Iqysafak Alusapytiq,Pwn,249,6.66
Iqef Ygycys,Teapotting,212,4.97
Yzuzyp Ofojitare,Forensics,218,4.36
Ixeqodi Iteqito,Pentest,215,5.72
Omyv Otixug,Pwn,216,8.73
Ujaw Yxuzonocir,Cybersec,213,9.64
Ozula Equpajagig,Cybersec,255,9.85
Osal Uvez,Pwn,259,5.07
Apycudaroz Any,Teapotting,223,7.66
Uhymizuga Axipel,Reverse,221,8.75
Usijatu Uhopiqelo,Forensics,244,7.13
Ydorivi Orakev,Forensics,226,7.71
Ysameqawat Ape,Pwn,246,6.05
Ylovibuq Ovek,Teapotting,224,5.64
Ikiq Aqoga,Pwn,210,8.46
Ytisyryqo Urodogedoq,Teapotting,206,9.54
Agaq Yvabypu,Forensics,212,9.92
Uhut Aseva,Pwn,235,4.11
Ahon Yqaxixywo,Pwn,249,4.56
Alu Ofaz,Cybersec,244,4.03
Yxawuz Ybesaxady,Teapotting,236,9.07
Yfili Odyxyzitic,Pwn,220,7.93
Ipahog Ynu,Reverse,250,9.89
Ewa Ejuhe,Reverse,249,6.99
Iceqoqop Ivavabihol,Teapotting,248,9.53
Ogilanom Emywoh,Pwn,246,7.29
Oqyniqedab Eliliha,Reverse,239,9.26
Erykomotoq Ujujew,Cybersec,258,5.33
Ycipah Abofi,Forensics,230,8.81
Ewabuj Yqypykubew,Pentest,249,6.39
Ozuk Ebekubok,Pentest,252,4.55
Eta Ekelutecar,Cybersec,216,4.07
Udikiwagos Icuzew,Teapotting,221,7.98
Isypul Ugasy,Pwn,248,6.58
Acalolik Exegyd,Pentest,219,6.2
Erasital Erovaxyhu,Pwn,219,9.02
Afijilumeq Umox,Pentest,209,8.9
Esus Uqonutu,Teapotting,238,5.56
Ycaxegi Efawun,Pwn,259,7.83
Ocyqy Exoquw,Cybersec,233,6.7
Azizu Ywiric,Teapotting,223,8.41
Oge Ijibuxas,Reverse,246,5.14
Olihu Aro,Forensics,202,5.78
Ifa Oxucyx,Forensics,221,4.07
Elyvuxi Efyt,Reverse,249,8.25
Ipyjisu Yluz,Forensics,210,7.58
Urehaxir Erytile,Teapotting,244,6.65
Igumoqaxen Ocuwuluh,Reverse,205,7.98
Imukyhux Ykeryti,Forensics,255,9.04
Ydabew Eryza,Pwn,252,9.79
Afoqo Ydyfemoho,Cybersec,203,6.51
Ymykah Ixic,Pentest,228,9.1
Adaramexu Avevesak,Cybersec,212,9.8
Ody Efajusuze,Forensics,244,7.45
Olav Ezyne,Pentest,222,8.04
Ewaqegagi Osynymico,Pwn,241,8.83
Omo Yhohupif,Pentest,215,5.8
Ihelaz Ufufybi,Pwn,216,6.27
Omynar Acomu,Forensics,237,7.32
Iqepedanom Akisuk,Cybersec,210,7.5
Uqe Egohifelab,Reverse,232,4.8
Izusi Ebuhehax,Forensics,208,5.44
Ibycu Onodiwor,Teapotting,252,9.49
Ibago Ydyjyfys,Teapotting,228,7.84
Uvyxyqu Itucom,Pwn,225,5.92
Upaviwa Oruzehoji,Forensics,258,4.5
Iruk Ocepul,Forensics,250,6.83
